CODIGO	PROVINCIA	TECNOLOGIA	PRODUCCION_EN_BORNES_DE_LOS_GENERADORES_GWh	PRODUCCION_NETA_GWH	YEAR	PROD_NETAGBH_X_HAB100K	POP100K	PROD_NETAGWH_X_PIBG	PIBG
08	BARCELONA	Solar termica	0.00	0.00	2016	0.00	55.43	0.00	157.15
08	BARCELONA	Solar termica	0.00	0.00	2017	0.00	55.76	0.00	165.41
08	BARCELONA	Solar termica	0.00	0.00	2018	0.00	56.09	0.00	171.92
08	BARCELONA	Solar termica	0.00	0.00	2019	0.00	56.65	0.00	179.20
08	BARCELONA	Solar termica	0.00	0.00	2020	0.00	57.43	0.00	159.80
08	BARCELONA	Solar termica	0.00	0.00	2021	0.00	57.15	0
08	BARCELONA	Solar termica	0.00	0.00	2022	0.00	57.28	0
08	BARCELONA	Termica renovable y resto	197.07	164.34	2016	2.96	55.43	1.05	157.15
08	BARCELONA	Termica renovable y resto	221.51	184.36	2015	3.34	55.24	1.22	150.56
08	BARCELONA	Termica renovable y resto	221.61	195.28	2014	3.54	55.24	1.36	144.10
08	BARCELONA	Termica renovable y resto	243.18	211.00	2013	3.81	55.41	1.49	141.40
08	BARCELONA	TOTAL	10065.00	9747.00	2018	173.76	56.09	56.69	171.92
08	BARCELONA	TOTAL	7149.00	6912.00	2021	120.95	57.15	0
08	BARCELONA	TOTAL	7295.00	7051.00	2020	122.77	57.43	44.12	159.80
08	BARCELONA	TOTAL	7947.32	7649.54	2014	138.48	55.24	53.08	144.10
08	BARCELONA	TOTAL	8503.00	8266.00	2022	144.32	57.28	0
08	BARCELONA	TOTAL	8798.67	8499.96	2013	153.40	55.41	60.11	141.40
08	BARCELONA	TOTAL	9177.04	8860.39	2016	159.86	55.43	56.38	157.15
08	BARCELONA	TOTAL	9398.00	8949.00	2019	157.98	56.65	49.94	179.20
08	BARCELONA	TOTAL	9399.11	9070.55	2015	164.20	55.24	60.24	150.56
08	BARCELONA	TOTAL	9931.11	9631.27	2017	172.73	55.76	58.23	165.41
48	BIZKAIA	Combustibles	2991.78	2913.35	2016	253.87	11.48	86.53	33.67
48	BIZKAIA	Combustibles	3262.00	3138.00	2018	272.96	11.50	88.19	35.58
48	BIZKAIA	Combustibles	3484.87	3402.91	2015	296.22	11.49	103.59	32.85
48	BIZKAIA	Combustibles	4031	3974.88	2014	345.07	11.52	126.21	31.50
48	BIZKAIA	Combustibles	4152.59	4021.67	2017	350.23	11.48	117.11	34.34
48	BIZKAIA	Combustibles	4302.88	4239.15	2013	366.57	11.56	137.42	30.85
48	BIZKAIA	Combustibles	4518.00	4384.00	2020	378.11	11.59	133.29	32.89
48	BIZKAIA	Combustibles	5134	4974	2021	430.90	11.54	0
48	BIZKAIA	Combustibles	6427.00	6263.00	2019	543.36	11.53	170.34	36.77
48	BIZKAIA	Combustibles	8212	8028	2022	698.49	11.49	0
48	BIZKAIA	Energia Mareomotriz. olas	0.00	0.00	2021	0.00	11.54	0
48	BIZKAIA	Energia Mareomotriz. olas	0.00	0.00	2022	0.00	11.49	0
48	BIZKAIA	Eolica	71.00	70.00	2021	6.06	11.54	0
48	BIZKAIA	Eolica	79.05	77.42	2017	6.74	11.48	2.25	34.34
48	BIZKAIA	Eolica	80.00	79.00	2022	6.87	11.49	0
48	BIZKAIA	Eolica	80.70	79.59	2016	6.94	11.48	2.36	33.67
48	BIZKAIA	Eolica	81.97	80.88	2015	7.04	11.49	2.46	32.85
48	BIZKAIA	Eolica	84.00	83.00	2018	7.22	11.50	2.33	35.58
48	BIZKAIA	Eolica	85.64	84.55	2013	7.31	11.56	2.74	30.85
